book,NN,IN,PRP,DT,NNP,RB,VBD,JJ,VB,CC
A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,4032,3477,2431,2948,1474,1635,2333,1922,1057,1344
A Modest Proposal by Jonathan Swift,498,514,154,357,50,199,34,265,179,168
A Study in Scarlet by Arthur Conan Doyle,7017,5671,4051,4699,2573,2198,3480,3191,1750,1813
A Tale of Two Cities by Charles Dickens,21729,18267,11048,14324,9489,7418,9560,10146,5173,6294
Adventures of Huckleberry Finn by Mark Twain,18178,11332,14169,10528,7265,6781,8270,9193,5592,7944
Alice's Adventures in Wonderland by Lewis Carroll,3889,2964,2700,2897,2772,1933,2508,2040,1422,1213
Also sprach Zarathustra. English by Friedrich Wilhelm Nietzsche,18138,12315,7971,10503,6163,8262,3645,8928,5067,5729
An Occurrence at Owl Creek Bridge by Ambrose Bierce,692,498,236,547,61,193,323,265,82,128
Anna Karenina by graf Leo Tolstoy,50841,43092,34047,30955,17465,22083,29492,22060,13735,16729
Anne of Green Gables by L. M.  Montgomery,14955,11336,11184,8154,10401,7216,7688,9046,5214,4561
Autobiography of Benjamin Franklin by Benjamin Franklin,10267,10407,5687,7674,4771,3758,4415,4979,3041,3506
Beowulf: An Anglo-Saxon Epic Poem,6773,4712,1817,4265,3956,1749,2001,2747,1219,1135
Beyond Good and Evil by Friedrich Wilhelm Nietzsche,10091,8602,3053,6793,2444,4436,811,5400,2325,3282
Candide by Voltaire,4300,4218,2853,3741,2921,1650,2571,2202,1351,1408
Common Sense by Thomas Paine,3359,3211,995,2708,794,1073,342,1560,1081,1169
Democracy in America — Volume 1 by Alexis de Tocqueville,25932,28173,7249,27336,7612,7947,3541,15354,7143,7452
Dracula by Bram Stoker,20497,20028,17768,14810,6866,10395,10636,9694,7914,7606
Dubliners by James Joyce,11015,7938,5996,6812,6565,3509,6756,4683,2464,2827
Emma by Jane Austen,20579,18039,15401,12593,12392,12799,9390,11391,9320,7036
Essays by Ralph Waldo Emerson by Ralph Waldo Emerson,16272,12093,4697,10938,5360,3922,2060,8057,3742,5077
Essays of Michel de Montaigne — Complete by Michel de Montaigne,84181,70221,37793,49217,22857,28518,13102,38800,25593,28499
Et dukkehjem. English by Henrik Ibsen,2778,2565,3526,2069,2613,2179,625,1305,1686,866
Ethan Frome by Edith Wharton,6035,4655,3386,3538,2028,1933,3326,2428,1343,1504
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",11627,9475,6765,7269,1800,3720,5628,4841,3075,3982
Great Expectations by Charles Dickens,27222,24750,20545,16352,12387,10811,15552,12594,7800,9084
Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,16335,10237,10280,10663,3970,6660,10240,5934,5067,6686
Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift,15958,15059,7865,11289,1395,5134,6415,7064,4305,5049
Hard Times by Charles Dickens,16394,12904,9659,9051,9124,6316,7005,7974,4690,4357
Heart of Darkness by Joseph Conrad,6480,5184,3683,4512,904,2351,3233,3140,1425,1392
Hedda Gabler by Henrik Ibsen,3867,3235,3213,2496,4355,2322,756,1706,1758,1002
Il Principe. English by Niccolò Machiavelli,5534,6828,3393,5036,2840,2349,2201,2698,2560,2457
Jane Eyre: An Autobiography by Charlotte Brontë,27075,20291,20928,16519,6658,11789,13740,11987,8256,8816
Le Morte d'Arthur: Volume 1 by Sir Thomas Malory,21753,18985,14644,13315,19577,9318,13715,7500,6941,12468
Leaves of Grass by Walt Whitman,20338,14540,8665,14236,6092,5843,1421,9853,3744,7091
Les Misérables by Victor Hugo,89099,71569,37837,71011,32497,25272,39186,35114,17172,18277
Leviathan by Thomas Hobbes,19929,32273,9505,25411,28788,9664,4608,9969,8708,12568
Little Women by Louisa May Alcott,24083,20846,17747,15529,9434,12662,13944,13199,9655,10019
Meditations by Emperor of Rome Marcus Aurelius,11059,9986,4228,6959,2039,4582,1418,5969,3806,4956
Metamorphosis by Franz Kafka,3041,2922,1931,1921,468,1961,1856,1138,1147,863
"Moby Dick; Or, The Whale by Herman Melville",35300,28755,11388,25695,12111,13502,9320,19272,7062,9483
"My Secret Life, Volumes I. to III. by Anonymous",34634,27840,34341,21662,5705,18167,26856,13260,10844,12198
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Mary White Rowlandson,2400,2471,2453,1738,638,1118,1754,1007,916,1277
"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass",5874,5531,3426,4164,1718,2080,2731,2551,1821,1750
Noli Me Tangere by José Rizal,95907,7278,39,65,13715,1151,3023,33222,6702,1875
Oliver Twist by Charles Dickens,23380,19156,11420,16769,8322,9239,11624,10588,6149,7348
Peter Pan by J. M.  Barrie,6567,5402,5171,4257,4119,3437,4507,3030,2268,2079
Prestuplenie i nakazanie. English by Fyodor Dostoyevsky,30306,24068,24230,17200,11584,14919,15676,14770,10088,9617
Pride and Prejudice by Jane Austen,16545,15229,11272,9143,8691,8624,8067,7943,6517,5096
Pygmalion by Bernard Shaw,4568,3565,3969,2928,3532,2343,950,1913,1901,1230
Second Treatise of Government by John Locke,9177,7969,3177,6784,1009,2751,1016,3536,2809,3238
Sense and Sensibility by Jane Austen,15503,15371,10864,9554,6049,8610,7471,7127,6083,4871
Siddhartha by Hermann Hesse,5513,4605,3528,4119,1323,2607,3008,2272,1539,1767
"Songs of Innocence, and Songs of Experience by William Blake",1144,543,283,548,698,181,205,418,225,342
The Adventures of Sherlock Holmes by Arthur Conan Doyle,14373,13165,10529,10677,4242,6218,6782,6327,4151,3921
The Adventures of Tom Sawyer by Mark Twain,12074,7895,6713,7281,6110,4657,6480,5930,3040,3923
The Autobiography of Benjamin Franklin by Benjamin Franklin,9161,9293,5459,6887,2534,3470,4055,4270,2798,3140
"The Awakening, and Selected Short Stories by Kate Chopin",10178,7555,6029,6108,4249,3414,5907,4576,2600,2737
The Brothers Karamazov by Fyodor Dostoyevsky,52711,42525,40552,30565,22177,24441,25264,25193,17268,16001
The Call of the Wild by Jack London,5002,4141,2178,3545,1683,1692,3249,2132,870,1898
The Complete Works of William Shakespeare by William Shakespeare,154170,90866,83455,69277,122171,50091,18339,66441,56707,40701
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,13609,15517,9301,9293,5975,7585,5043,6086,4910,6985
"The Count of Monte Cristo, Illustrated by Alexandre Dumas",74725,54143,39297,47625,44976,24201,32703,31174,21155,18017
"The Divine Comedy by Dante, Illustrated by Dante Alighieri",64,43,18,53,28,9,1,24,23,13
The Federalist Papers by Alexander Hamilton and John Jay and James Madison,26723,30647,5850,28487,6490,7478,1758,16015,10009,7284
The Hound of the Baskervilles by Arthur Conan Doyle,9239,7699,5947,6174,3922,3174,3796,4305,2634,2257
The Iliad by Homer,36766,20784,5852,21521,14565,6879,5719,16013,6663,9293
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,2509,1991,2200,1562,2694,1663,383,1560,1128,478
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African by Equiano",10573,11110,7646,8354,3654,4797,6554,4824,2919,4230
The Jungle Book by Rudyard Kipling,7716,5968,3861,5491,4482,2882,3678,3456,2344,2826
The Jungle by Upton Sinclair,22884,18566,12062,16880,5998,8278,12886,8778,6874,8667
The Kama Sutra of Vatsyayana by Vatsyayana,9051,8656,2413,7281,2271,2336,506,3746,2593,3074
The King James Version of the Bible,110625,110810,58695,87317,53349,28690,39275,32364,35805,58777
The Legend of Sleepy Hollow by Washington Irving,2142,1899,453,1537,430,546,744,994,279,636
The Life and Adventures of Robinson Crusoe by Daniel Defoe,15751,16815,12748,11781,1807,7706,9775,6690,5503,6890
The Mysterious Affair at Styles by Agatha Christie,7471,6103,6495,5255,3764,4227,4544,3153,2378,1767
The Picture of Dorian Gray by Oscar Wilde,10425,9224,8820,7051,3280,4607,5630,5566,3303,2865
The Republic by Plato,30026,29561,13272,25315,4370,11807,4114,14635,10354,13680
The Romance of Lust: A Classic Victorian erotic novel by Anonymous,26978,23072,19110,15054,5387,12869,15203,14338,7971,8830
The Scarlet Letter by Nathaniel Hawthorne,14422,11808,4599,9423,3017,5050,4694,6991,3019,3880
The Sign of the Four by Arthur Conan Doyle,6037,5363,4454,4566,1719,2465,2824,2802,1743,1602
The Souls of Black Folk by W. E. B.  Du Bois,11007,9192,2626,8725,3323,3764,3023,6221,1907,4390
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,3979,3369,2091,2919,966,1522,1949,1559,926,1243
The Time Machine by H. G.  Wells,5061,4329,2731,3870,1126,1968,2796,2521,1023,1585
The Tragedy of Romeo and Juliet by William Shakespeare,4492,2329,2069,1848,3281,1406,453,1954,1571,1034
The Tragical History of Doctor Faustus by Christopher Marlowe,3280,2006,1314,1613,3125,919,493,1599,1102,920
The Turn of the Screw by Henry James,6786,6022,5228,4011,1591,3019,3683,3214,1928,1503
The War of the Worlds by H. G.  Wells,9564,8541,3971,7802,1691,3244,4848,4076,1464,2996
The Wonderful Wizard of Oz by L. Frank  Baum,4074,4318,3829,4594,2667,2658,3539,2206,1802,2064
The Works of Edgar Allan Poe — Volume 1 by Edgar Allan Poe,15495,13685,5052,11812,3935,5328,4262,6724,3258,3474
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,16335,14559,5869,12187,2724,5908,5690,7806,2701,4183
The Yellow Wallpaper by Charlotte Perkins Gilman,816,675,749,539,132,519,235,485,315,377
Treasure Island by Robert Louis Stevenson,10281,8416,6656,7823,2607,4367,5326,3818,2565,3632
Ulysses by James Joyce,49803,32319,18215,26199,26668,11628,14204,19205,8140,9091
Uncle Tom's Cabin by Harriet Beecher Stowe,31598,21088,15926,16533,15855,10080,12524,15937,8477,9406
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau",17735,15560,7429,13438,2229,6903,4332,7878,4668,6531
War and Peace by graf Leo Tolstoy,88585,69455,40971,57184,39807,31804,46467,38344,22367,28761
Wuthering Heights by Emily Brontë,15998,12435,13967,8985,3799,7229,8628,6694,6566,6095
