Et dukkehjem. English by Henrik Ibsen,97
The Tale of Peter Rabbit by Beatrix Potter,96
Hedda Gabler by Henrik Ibsen,95
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,94
Metamorphosis by Franz Kafka,93
Sense and Sensibility by Jane Austen,92
Pygmalion by Bernard Shaw,91
Emma by Jane Austen,90
Anne of Green Gables by L. M.  Montgomery,89
Ethan Frome by Edith Wharton,88
Alice's Adventures in Wonderland by Lewis Carroll,87
A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,86
Pride and Prejudice by Jane Austen,85
Persuasion by Jane Austen,84
The Mysterious Affair at Styles by Agatha Christie,83
Mansfield Park by Jane Austen,82
Peter Pan by J. M.  Barrie,81
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,80
The Wonderful Wizard of Oz by L. Frank  Baum,79
Little Women by Louisa May Alcott,78
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,77
Great Expectations by Charles Dickens,76
"My Secret Life, Volumes I. to III. by Anonymous",75
Hard Times by Charles Dickens,74
Adventures of Huckleberry Finn by Mark Twain,73
Siddhartha by Hermann Hesse,72
The Adventures of Tom Sawyer by Mark Twain,71
Wuthering Heights by Emily Brontë,70
The Hound of the Baskervilles by Arthur Conan Doyle,69
Forbidden Fruit by Anonymous,68
The Call of the Wild by Jack London,67
An Occurrence at Owl Creek Bridge by Ambrose Bierce,66
"The Awakening, and Selected Short Stories by Kate Chopin",65
The Adventures of Sherlock Holmes by Arthur Conan Doyle,64
The Romance of Lust: A Classic Victorian erotic novel by Anonymous,63
The Yellow Wallpaper by Charlotte Perkins Gilman,62
Prestuplenie i nakazanie. English by Fyodor Dostoyevsky,61
Treasure Island by Robert Louis Stevenson,60
Oliver Twist by Charles Dickens,59
"The Divine Comedy by Dante, Illustrated by Dante Alighieri",58
Anna Karenina by graf Leo Tolstoy,57
The Picture of Dorian Gray by Oscar Wilde,56
"The Count of Monte Cristo, Illustrated by Alexandre Dumas",55
A Tale of Two Cities by Charles Dickens,54
The Turn of the Screw by Henry James,53
The Legend of Sleepy Hollow by Washington Irving,52
Manifest der Kommunistischen Partei. English by Friedrich Engels and Karl Marx,51
Dracula by Bram Stoker,50
A Study in Scarlet by Arthur Conan Doyle,49
The Time Machine by H. G.  Wells,48
On the origin of species by Charles Darwin,47
Dubliners by James Joyce,46
Uncle Tom's Cabin by Harriet Beecher Stowe,45
A Modest Proposal by Jonathan Swift,44
The Drawings of Leonardo da Vinci by da Vinci Leonardo,43
The Kama Sutra of Vatsyayana by Vatsyayana,42
Autobiography of Benjamin Franklin by Benjamin Franklin,41
Beowulf: An Anglo-Saxon Epic Poem,40
Jane Eyre: An Autobiography by Charlotte Brontë,39
Heart of Darkness by Joseph Conrad,38
Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,37
The Tragical History of Doctor Faustus by Christopher Marlowe,36
War and Peace by graf Leo Tolstoy,35
Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift,34
Les Misérables by Victor Hugo,33
1000 Things Worth Knowing by Nathaniel C. Fowler,32
Second Treatise of Government by John Locke,31
Don Quixote by Miguel de Cervantes Saavedra,30
The Federalist Papers by Alexander Hamilton and John Jay and James Madison,29
"Moby Dick; Or, The Whale by Herman Melville",28
Notes from the Underground by Fyodor Dostoyevsky,27
The Life and Adventures of Robinson Crusoe by Daniel Defoe,26
Il Principe. English by Niccolò Machiavelli,25
The Tragedy of Romeo and Juliet by William Shakespeare,24
The Elements of Style by William Strunk,23
Candide by Voltaire,22
"Songs of Innocence, and Songs of Experience by William Blake",21
Ulysses by James Joyce,20
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",19
The Souls of Black Folk by W. E. B.  Du Bois,18
"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass",17
Democracy in America — Volume 1 by Alexis de Tocqueville,16
Leviathan by Thomas Hobbes,15
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau",14
On Liberty by John Stuart Mill,13
The Iliad by Homer,12
The Republic by Plato,11
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,10
Essays of Michel de Montaigne — Complete by Michel de Montaigne,9
Beyond Good and Evil by Friedrich Wilhelm Nietzsche,8
Also sprach Zarathustra. English by Friedrich Wilhelm Nietzsche,7
The Complete Works of William Shakespeare by William Shakespeare,6
Leaves of Grass by Walt Whitman,5
The King James Version of the Bible,4
The Brothers Karamazov by Fyodor Dostoyevsky,3
Meditations by Emperor of Rome Marcus Aurelius,2
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,1
